
> idfm-node-backend@1.0.0 map:isochrones:build
> tsx src/transport/isochrones/build-isochrones.ts --all --requests-per-minute 6000 --keep-archives

Walking radar: 30754 origins, 0 cached, 30754 pending, at least 6151 ORS requests.
Catalog/provider/validation changed: rebuilding scopes from verified origin checkpoints. Older caches are kept but not reused.
ORS: 1185/30754 processed; 237 requests; 0 unavailable origins.
ORS: 1190/30754 processed; 238 requests; 0 unavailable origins.
ORS: 1195/30754 processed; 239 requests; 0 unavailable origins.
ORS: 1200/30754 processed; 240 requests; 0 unavailable origins.
ORS: 1205/30754 processed; 241 requests; 0 unavailable origins.
ORS: 1210/30754 processed; 242 requests; 0 unavailable origins.
ORS: 1215/30754 processed; 243 requests; 0 unavailable origins.
ORS: 1220/30754 processed; 244 requests; 0 unavailable origins.
ORS: 1225/30754 processed; 245 requests; 0 unavailable origins.
ORS: 1230/30754 processed; 246 requests; 0 unavailable origins.
ORS: 1235/30754 processed; 247 requests; 0 unavailable origins.
ORS: 1240/30754 processed; 248 requests; 0 unavailable origins.
ORS: 1245/30754 processed; 249 requests; 0 unavailable origins.
ORS: 1250/30754 processed; 250 requests; 0 unavailable origins.
ORS: 1255/30754 processed; 251 requests; 0 unavailable origins.
ORS: 1260/30754 processed; 252 requests; 0 unavailable origins.
ORS: 1265/30754 processed; 253 requests; 0 unavailable origins.
ORS: 1270/30754 processed; 254 requests; 0 unavailable origins.
ORS: 1275/30754 processed; 255 requests; 0 unavailable origins.
ORS: 1280/30754 processed; 256 requests; 0 unavailable origins.
ORS: 1285/30754 processed; 257 requests; 0 unavailable origins.
ORS: 1290/30754 processed; 258 requests; 0 unavailable origins.
ORS: 1295/30754 processed; 259 requests; 0 unavailable origins.
ORS: 1300/30754 processed; 260 requests; 0 unavailable origins.
ORS: 1305/30754 processed; 261 requests; 0 unavailable origins.
ORS: 1310/30754 processed; 262 requests; 0 unavailable origins.
ORS: 1315/30754 processed; 263 requests; 0 unavailable origins.
ORS: 1320/30754 processed; 264 requests; 0 unavailable origins.
ORS: 1325/30754 processed; 265 requests; 0 unavailable origins.
ORS: 1330/30754 processed; 266 requests; 0 unavailable origins.
ORS: 1335/30754 processed; 267 requests; 0 unavailable origins.
ORS: 1340/30754 processed; 268 requests; 0 unavailable origins.
ORS: 1345/30754 processed; 269 requests; 0 unavailable origins.
ORS: 1350/30754 processed; 270 requests; 0 unavailable origins.
ORS: 1355/30754 processed; 271 requests; 0 unavailable origins.
ORS: 1360/30754 processed; 272 requests; 0 unavailable origins.
ORS: 1365/30754 processed; 273 requests; 0 unavailable origins.
ORS: 1370/30754 processed; 274 requests; 0 unavailable origins.
ORS: 1375/30754 processed; 275 requests; 0 unavailable origins.
ORS: 1380/30754 processed; 276 requests; 0 unavailable origins.
ORS: 1385/30754 processed; 277 requests; 0 unavailable origins.
ORS: 1390/30754 processed; 278 requests; 0 unavailable origins.
ORS: 1395/30754 processed; 279 requests; 0 unavailable origins.
ORS: 1400/30754 processed; 280 requests; 0 unavailable origins.
ORS: 1405/30754 processed; 281 requests; 0 unavailable origins.
ORS: 1410/30754 processed; 282 requests; 0 unavailable origins.
ORS: 1415/30754 processed; 283 requests; 0 unavailable origins.
ORS: 1420/30754 processed; 284 requests; 0 unavailable origins.
ORS: 1425/30754 processed; 285 requests; 0 unavailable origins.
ORS: 1430/30754 processed; 286 requests; 0 unavailable origins.
ORS: 1435/30754 processed; 287 requests; 0 unavailable origins.
ORS: 1440/30754 processed; 288 requests; 0 unavailable origins.
ORS: 1445/30754 processed; 289 requests; 0 unavailable origins.
ORS: 1450/30754 processed; 290 requests; 0 unavailable origins.
ORS: 1455/30754 processed; 291 requests; 0 unavailable origins.
ORS: 1460/30754 processed; 292 requests; 0 unavailable origins.
ORS: 1465/30754 processed; 293 requests; 0 unavailable origins.
ORS: 1470/30754 processed; 294 requests; 0 unavailable origins.
ORS: 1475/30754 processed; 295 requests; 0 unavailable origins.
ORS: 1480/30754 processed; 296 requests; 0 unavailable origins.
ORS: 1485/30754 processed; 297 requests; 0 unavailable origins.
ORS: 1490/30754 processed; 298 requests; 0 unavailable origins.
ORS: 1495/30754 processed; 299 requests; 0 unavailable origins.
ORS: 1500/30754 processed; 300 requests; 0 unavailable origins.
ORS: 1505/30754 processed; 301 requests; 0 unavailable origins.
ORS: 1510/30754 processed; 302 requests; 0 unavailable origins.
ORS: 1515/30754 processed; 303 requests; 0 unavailable origins.
ORS: 1520/30754 processed; 304 requests; 0 unavailable origins.
ORS: 1525/30754 processed; 305 requests; 0 unavailable origins.
ORS: 1530/30754 processed; 306 requests; 0 unavailable origins.
ORS: 1535/30754 processed; 307 requests; 0 unavailable origins.
ORS: 1540/30754 processed; 308 requests; 0 unavailable origins.
ORS: 1545/30754 processed; 309 requests; 0 unavailable origins.
ORS: 1550/30754 processed; 310 requests; 0 unavailable origins.
ORS: 1555/30754 processed; 311 requests; 0 unavailable origins.
ORS: 1560/30754 processed; 312 requests; 0 unavailable origins.
ORS: 1565/30754 processed; 313 requests; 0 unavailable origins.
ORS: 1570/30754 processed; 314 requests; 0 unavailable origins.
ORS: 1575/30754 processed; 315 requests; 0 unavailable origins.
ORS: 1580/30754 processed; 316 requests; 0 unavailable origins.
ORS: 1585/30754 processed; 317 requests; 0 unavailable origins.
ORS: 1590/30754 processed; 318 requests; 0 unavailable origins.
ORS: 1595/30754 processed; 319 requests; 0 unavailable origins.
ORS: 1600/30754 processed; 320 requests; 0 unavailable origins.
ORS: 1605/30754 processed; 321 requests; 0 unavailable origins.
ORS: 1610/30754 processed; 322 requests; 0 unavailable origins.
ORS: 1615/30754 processed; 323 requests; 0 unavailable origins.
ORS: 1620/30754 processed; 324 requests; 0 unavailable origins.
ORS: 1625/30754 processed; 325 requests; 0 unavailable origins.
ORS: 1630/30754 processed; 326 requests; 0 unavailable origins.
ORS: 1635/30754 processed; 327 requests; 0 unavailable origins.
ORS: 1640/30754 processed; 328 requests; 0 unavailable origins.
ORS: 1645/30754 processed; 329 requests; 0 unavailable origins.
ORS: 1650/30754 processed; 330 requests; 0 unavailable origins.
ORS: 1655/30754 processed; 331 requests; 0 unavailable origins.
ORS: 1660/30754 processed; 332 requests; 0 unavailable origins.
ORS: 1665/30754 processed; 333 requests; 0 unavailable origins.
ORS: 1670/30754 processed; 334 requests; 0 unavailable origins.
ORS: 1675/30754 processed; 335 requests; 0 unavailable origins.
Unavailable origin 1.87102,48.91296 (1.87102,48.91296) [ors-3099]: Cauchoiserie rue des Bois [station:FR::Quay:50164915:FR1; line:IDFM:C00118] — ORS 500 (code 3099): Unable to build an isochrone map.; station unavailable, check OSM coverage/access to the walking network.
Unavailable origin 1.87117,48.91296 (1.87117,48.91296) [ors-3099]: Cauchoiserie Rue des Bois [station:FR::Quay:50199819:FR1; line:IDFM:C00119] — ORS 500 (code 3099): Unable to build an isochrone map.; station unavailable, check OSM coverage/access to the walking network.
ORS: 1680/30754 processed; 341 requests; 2 unavailable origins.
ORS: 1685/30754 processed; 342 requests; 2 unavailable origins.
ORS: 1690/30754 processed; 343 requests; 2 unavailable origins.
ORS: 1695/30754 processed; 344 requests; 2 unavailable origins.
ORS: 1700/30754 processed; 345 requests; 2 unavailable origins.
ORS: 1705/30754 processed; 346 requests; 2 unavailable origins.
ORS: 1710/30754 processed; 347 requests; 2 unavailable origins.
ORS: 1715/30754 processed; 348 requests; 2 unavailable origins.
ORS: 1720/30754 processed; 349 requests; 2 unavailable origins.
ORS: 1725/30754 processed; 350 requests; 2 unavailable origins.
